"treatment","forest_type","plot_ID","gbh_cm","gbh_cm_stem2","gbh_cm_stem3","height_m","code","species_ID","family","ID_level","sp_sdev","sp_m","ge_sdev","ge_m","basalarea_cm2","dia1","dia2","dia3","den","agb","plotA","plotB","plotC","wd_m","wd_sd","WD_level","agb_Mg","type_plot","gf"
"OL_near","deciduous","MAT1C5P01",25.5,NA,NA,5.5,"tabalt","Tabernaemontana alternifolia","Apocynaceae","S",NA,NA,0.100269141041503,0.5247747164,51.7452508727525,8.11690209768666,NA,NA,0.5247747164,11.2832051060659,NA,"Y",NA,0.5247747164,0.100269141041503,"G",0.00112832051060659,"B","T"
"OL_near","deciduous","MAT1C5P01",10,NA,NA,3,"rinben","Rinorea benghalensis","Violaceae","S",NA,NA,0.085450154449058,0.670555965076923,7.95774715459477,3.18309886183791,NA,NA,0.670555965076923,1.27599639333316,NA,"Y",NA,0.670555965076923,0.085450154449058,"G",0.000127599639333316,"B","T"
"OL_near","deciduous","MAT1C5P01",74.5,NA,NA,14.5,"diland","Dillenia andamanica","Dilleniaceae","S",NA,NA,0.06635338093766,0.61240512972973,441.674861447896,23.7140865206924,NA,NA,0.61240512972973,273.950826791354,"Y","Y",NA,0.61240512972973,0.06635338093766,"G",0.0273950826791354,"B","T"
"OL_near","deciduous","MAT1C5P01",42,NA,NA,9,"clenit","Cleidion nitidum","Euphorbioaceae","S",NA,NA,0.170098010962308,0.516666666666667,140.374659807052,13.3690152197192,NA,NA,0.516666666666667,47.598712935828,"Y",NA,NA,0.516666666666667,0.170098010962308,"G",0.0047598712935828,"A","T"
"OL_near","deciduous","MAT1C5P01",30,NA,NA,7,"clemyr","Cleistanthus myrianthus","Euphorbioaceae","S",0.063639610306789,0.535,0.143774424505636,0.633384786714286,71.6197243913529,9.54929658551372,NA,NA,0.535,19.9805841125805,"Y",NA,NA,0.535,0.063639610306789,"S",0.00199805841125805,"A","T"
"OL_near","deciduous","MAT1C5P01",60,NA,NA,13.5,"panand","Pandanus andamanica","Pandanaceae","S",NA,NA,NA,0.3309,286.478897565412,19.0985931710274,NA,NA,0.3309,91.8247080629664,"Y",NA,NA,0.3309,NA,"G",0.00918247080629664,"A","T"
"OL_near","deciduous","MAT1C5P01",30,NA,NA,NA,"belsp","Climber species",NA,"G",NA,NA,NA,NA,71.6197243913529,9.54929658551372,NA,NA,NA,0,"Y",NA,NA,0.569020180720243,0.0474944071184135,"P",0,"A","P"
"OL_near","deciduous","MAT1C5P01",57,NA,NA,8,"dryass","Drypetes assamica","Euphorbioaceae","S",NA,NA,0.075472281231936,0.706904579047619,258.547205052784,18.1436635124761,NA,NA,0.706904579047619,104.577485211578,"Y",NA,NA,0.706904579047619,0.075472281231936,"G",0.0104577485211578,"A","T"
"OL_near","deciduous","MAT1C5P01",57,NA,NA,10.5,"panand","Pandanus andamanica","Pandanaceae","S",NA,NA,NA,0.3309,258.547205052784,18.1436635124761,NA,NA,0.3309,65.0056389869311,"Y",NA,NA,0.3309,NA,"G",0.00650056389869311,"A","T"
"OL_near","deciduous","MAT1C5P01",50,NA,NA,10,"dryass","Drypetes assamica","Euphorbioaceae","S",NA,NA,0.075472281231936,0.706904579047619,198.943678864869,15.9154943091895,NA,NA,0.706904579047619,100.680206345581,"Y",NA,NA,0.706904579047619,0.075472281231936,"G",0.0100680206345581,"A","T"
